GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Acetobacter	pasteurianus	ascendens	30:225	"comb. nov. (AL), heterotypic syn."	(Henneberg 1898) De Ley and Frateur 1974	[DSMZ] synonymy: IJSEM 63:2371* (List of Changes in Taxonomic Opinion No. 18)	1	"LMD 51.1, LMG 1590, NCCB 51001"	783239	772511
Acetobacter	pasteurianus	estunensis	30:225	comb. nov. (AL)	(Carr 1958) De Ley and Frateur 1974		1	"ATCC 23753, DSM 4493, NCIMB 8935, IFO 13751, JCM 21172, LMG 1626, NBRC 13751"	772512	772495
Acetobacter	pasteurianus	lovaniensis	30:225	comb. nov. (AL)	(Frateur 1950) De Ley and Frateur 1974		1	"ATCC 12875, DSM 4491, IMET 10734, NCIMB 8620, DSM 46218, IFO 13753, LMG 1579, LMG 1617, NBRC 13753"	772513	772502
Acetobacter	pasteurianus	paradoxus	30:225	"comb. nov. (AL), heterotypic syn."	(Frateur 1950) De Ley and Frateur 1974	[DSMZ] synonymy: IJSEM 63:2371* (List of Changes in Taxonomic Opinion No. 18)	1	"LMD 53.6, LMG 1591, NCCB 53006"	783240	772511
Acetobacter	pasteurianus	pasteurianus	30:225	"comb. nov. (AL), homotypic syn."	(Hansen 1879) De Ley and Frateur 1974		1	"ATCC 33445, CCUG 18125, CIP 103108, DSM 2347, DSM 3509, JCM 7640, LMD 22.1, LMG 1262, NCCB 22001"	772514	772511
Acetobacter	pasteurianus		30:225	comb. nov. (AL)	(Hansen 1879) Beijerinck and Folpmers 1916		1	"DSM 3509, IMET 10733, LMD 22.1, ATCC 33445, CCUG 18125, CIP 103108, DSM 2347, JCM 7640, LMG 1262, NCCB 22001"	772511	
Acetobacter	peroxydans		30:225	"species (AL), heterotypic syn."	Visser't Hooft 1925		1	"ATCC 12874, DSM 2347, IFO 13755, LMG 1635, NBRC 13755, NCCB 88049, NCCB 89009"	772515	772511
Acetobacter	persici		63:1	sp. nov. (VL)	Iino et al. 2013		1	"T-120, JCM 25330, LMG 26458"	790357	
Acetobacter	persicus		63:1	orthographically incorrect name	Iino et al. 2013		1	"JCM 25330, LMG 26458, T-120"	790361	790357
Acetobacter	pomorum		48:935*	sp. nov. (VP)	Sokollek et al. 1998		1	"DSM 11825, LTH 2458, CIP 105762, LMG 18848, LHT 2458"	772516	
Acetobacter	senegalensis		57:1576*	sp. nov. (VP)	Ndoye et al. 2007		1	"CWBI-B418, LMG 23690, DSM 18889"	785826	
Acetobacter	sicerae		64:2407*	sp. nov. (VP)	Li et al. 2014			"LMG 1531, NCIMB 8941"	791950	
Acetobacter	suratthanensis		66:4299	orthographically incorrect name	Pitiwittayakul et al. 2016			"AI32, BCC 26087, NBRC 111399"	794705	794706
Acetobacter	suratthaniensis		66:4299	sp. nov. (VL)	Pitiwittayakul et al. 2016			"AI32, BCC 26087, NBRC 111399"	794706	
Acetobacter	syzygii		52:3	sp. nov. (VL)	Lisdiyanti et al. 2002		1	"9H-2, IFO 16604, JCM 11197, DSM 15548, CIP 107378, NBRC 16604"	772520	
Acetobacter	thailandicus		66:1913	sp. nov. (VL)	Pitiwittayakul et al. 2016			"AD25, BCC 15839, NBRC 103583"	794091	
Acetobacter	tropicalis		51:263	sp. nov. (VL)	Lisdiyanti et al. 2001		1	"IFO 16470, JCM 10947, Ni-6b, NRIC 0312, NBRC 16470, DSM 15551, LMG 19825, strain Ni-6b"	772521	
Acetobacter	xylinum	sucrofermentans	46:836	orthographically incorrect name	Toyosaki et al. 1996		1	"DSM 15973, JCM 9730, LMG 18788, strain BPR 2001"	798466	789898
Acetobacter	xylinum	xylinum	46:270	orthographically incorrect name	(Brown 1886) Toyosaki et al. 1996		1	"ATCC 23767, BCRC 12952, CCM 3611, CCRC 12952, CCUG 37299, CIP 103107, DSM 6513, IFO 15237, JCM 7644, LMG 1515, NBRC 15237, NCIB 11664, NCIMB 11664, NCTC 41124"	783243	789888
Acetobacter	xylinum		34:270	orthographically incorrect name	(Brown 1886) Yamada 1984		1	"ATCC 23767, BCRC 12952, CCM 3611, CCRC 12952, CCUG 37299, CIP 103107, DSM 6513, IFO 15237, JCM 7644, LMG 1515, NBRC 15237, NCIB 11664, NCIMB 11664, NCTC 41124"	783241	789888
Acetobacter	xylinus	sucrofermentans	46:836	subsp. nov. (VL)	Toyosaki et al. 1996	[DSMZ] nom. corrig.: IJSB 47:585*; regarded as synonym of <I>Gluconacetobacter xylinus</I> {8560}	1	"BPR 2001, JCM 9730, DSM 15973, LMG 18788, strain BPR 2001"	783244	789898
Acetobacter	xylinus	xylinus	46:270	"comb. nov. (VL), homotypic syn."	(Brown 1886) Toyosaki et al. 1996	[DSMZ] nom. corrig.: IJSB 47:585*	1	"DSM 6513, NCIB 11664, BCRC 12952, CCM 3611, CCRC 12952, CCUG 37299, CIP 103107, IFO 15237, JCM 7644, LMG 1515, NBRC 15237, NCIMB 11664, NCTC 41124"	772523	789888
Acetobacter	xylinus		34:270	"comb. nov. (VL), homotypic syn."	(Brown 1886) Yamada 1984	[DSMZ] nom. corrig.: IJSB 47:585*	1	"DSM 6513, NCIB 11664, BCRC 12952, CCM 3611, CCRC 12952, CCUG 37299, CIP 103107, IFO 15237, JCM 7644, LMG 1515, NBRC 15237, NCIMB 11664, NCTC 41124"	772522	789888
Acetobacter			30:225	genus (AL)	Beijerinck 1898				514991	
Acetobacterium	bakii		47:242	sp. nov. (VL)	Kotsyurbenko et al. 1997		1	"DSM 8239, Z-4391, ATCC 51794"	772524	
Acetobacterium	carbinolicum		35:375	sp. nov. (VL)	Eichler and Schink 1985 emend. Paarup et al. 2006		1	"DSM 2925, WoProp 1, strain WoProp 1"	772525	
Acetobacterium	fimetarium		47:242	sp. nov. (VL)	Kotsyurbenko et al. 1997		1	"DSM 8238, Z-4290, ATCC 51795"	772527	
Acetobacterium	malicum		40:470	sp. nov. (VL)	Tanaka and Pfennig 1990		1	"DSM 4132, MuME1, ATCC 51201, MuME 1"	772528	
Acetobacterium	paludosum		47:242	sp. nov. (VL)	Kotsyurbenko et al. 1997		1	"DSM 8237, Z-4092, ATCC 51793"	772529	
Acetobacterium	tundrae		51:793	sp. nov. (VL)	Simankova et al. 2001		1	"DSM 9173, Z-4493"	772532	
Acetobacterium	wieringae		33:438	sp. nov. (VL)	Braun and Gottschalk 1983		1	"C, DSM 1911, JCM 2380, ATCC 43740, LMG 7579"	772533	
Acetobacterium	woodii		30:225	species (AL)	Balch et al. 1977		1	"ATCC 29683, DSM 1030, JCM 2381"	772534	
Acetobacterium			30:225	genus (AL)	Balch et al. 1977				514992	
Acetobacteroides	hydrogenigenes		64:2986*	sp. nov. (VP)	Su et al. 2014			"RL-C, JCM 17603, DSM 24657, CGMCC 1.5173"	792130	
Acetobacteroides			64:2986*	gen. nov. (VP)	Su et al. 2014				518609	
Acetofilamentum	rigidum		39:93	sp. nov. (VL)	Dietrich et al. 1989		1	"DSM 20769, MN"	772536	
Acetofilamentum			39:93	gen. nov. (VL)	Dietrich et al. 1989				514994	
Acetogenium	kivui		33:886*	sp. nov. (VP)	Leigh and Wolfe 1983		1	"ATCC 33488, DSM 2030"	772537	782506
Acetogenium			33:886*	"gen. nov. (VP), heterotypic syn."	Leigh and Wolfe 1983				514995	517131
Acetohalobium	arabaticum		40:470	sp. nov. (VL)	Zhilina and Zavarzin 1990		1	"DSM 5501, Z-7288, ATCC 49924"	772538	
Acetohalobium			40:470	gen. nov. (VL)	Zhilina and Zavarzin 1990				514996	
Acetomicrobium	faecale		38:136	sp. nov. (VL)	Winter et al. 1988	[DSMZ] nom. corrig.: IJSB 48:1073*; <I>Acetomicrobium faecalis</I> (sic)	1	"DSM 20678, JCM 30420"	772540	793305
Acetomicrobium	faecalis		38:136	orthographically incorrect name	Winter et al. 1988	[DSMZ] nom. corrig. IJSB 48:1073* // [IJSEM] Type designated by author(s).	1	"DSM 20678, JCM 30420"	783245	793305
Acetomicrobium	flavidum		35:223	sp. nov. (VL)	Soutschek et al. 1985		1	"DSM 20664, ATCC 43122, LMG 6941"	772541	
Acetomicrobium	hydrogeniformans		66:1506*	comb. nov. (VP)	(Maune and Tanner 2012) Ben Hania et al. 2016		1	"OS1, DSM 22491, ATCC BAA-1850"	793979	
Acetomicrobium	mobile		66:1506*	comb. nov. (VP)	(Menes and Muxí 2002) Ben Hania et al. 2016		1	"NGA, DSM 13181, JCM 12221, ATCC BAA-54"	793977	
Acetomicrobium	thermoterrenum		66:1506*	comb. nov. (VP)	(Rees et al. 1997) Ben Hania et al. 2016		1	"RWcit2, DSM 13490, ACM 5076, RWcit"	793978	
Acetomicrobium			35:223	gen. nov. (VL)	Soutschek et al. 1985 emend. Ben Hania et al. 2016	[DSMZ] emended description: IJSEM 66:1508*			514997	
Acetonema	longum		42:191	sp. nov. (VL)	Kane and Breznak 1992		1	"APO-1, DSM 6540, ATCC 51454"	772544	
Acetonema			42:191	gen. nov. (VL)	Kane and Breznak 1992				514999	
Acetothermus	paucivorans		38:328	sp. nov. (VL)	Dietrich et al. 1988	[IJSEM] Type designated by author(s).	1	"DSM 20768, TN"	772545	
Acetothermus			38:328	gen. nov. (VL)	Dietrich et al. 1988	[IJSEM] Type designated by author(s).			515000	
Acholeplasma	axanthum		30:225	species (AL)	Tully and Razin 1970		"2, t"	"ATCC 25176, S-743"	783246	
Acholeplasma	brassicae		44:680*	sp. nov. (VP)	Tully et al. 1994		1	"0502, ATCC 49388"	783247	
Acholeplasma	cavigenitalium		42:589*	sp. nov. (VP)	Hill 1992		1	"GP3, NCTC 11727, ATCC 49901"	783248	
Acholeplasma	entomophilum		38:164*	sp. nov. (VP)	Tully et al. 1988		1	"ATCC 51578, TAC, ATCC 43706, NCTC 11713"	783249	784199
Acholeplasma	equifetale		30:225	species (AL)	Kirchoff 1974		1	"ATCC 29724, NCTC 10171"	783250	
Acholeplasma	florum		34:11*	sp. nov. (VP)	McCoy et al. 1984		1	"ATCC 33453, L1, NBRC 100688, NCTC 11704"	783251	784200
Acholeplasma	granularum		30:225	comb. nov. (AL)	(Switzer 1964) Edward and Freundt 1970		"2, t"	"ATCC 19168, NBRC 14847, NCTC 10128"	783252	
Acholeplasma	hippikon		30:225	species (AL)	Kirchoff 1974		"2, t"	"ATCC 29725, NCTC 10172"	783253	
Acholeplasma	laidlawii		30:225	comb. nov. (AL)	(Sabin 1941) Edward and Freundt 1970		"2, t"	"ATCC 23206, IMET 10894, DSM 23060, CIP 75.27, IFO 14400, NBRC 14400, NCTC 10116, PG8 ATCC 23206"	772547	
Acholeplasma	modicum		30:225	species (AL)	Leach 1973		"2, t"	"ATCC 29102, NCTC 10134, PG 49"	783254	
Acholeplasma	morum		30:647*	sp. nov. (VP)	Rose et al. 1980		"2, t"	"72-043, ATCC 33211, NCTC 10188"	783255	
Acholeplasma	multilocale		42:513*	sp. nov. (VP)	Hill et al. 1992		1	"NCTC 11723, PN525, ATCC 49900"	783256	
Acholeplasma	oculi		30:225	species (AL)	Al-Aubaidi et al. 1973		"2, t"	"ATCC 27350, 19L ATCC 27350, NCTC 10150"	783257	
Acholeplasma	palmae		44:680*	sp. nov. (VP)	Tully et al. 1994		1	"ATCC 49389, J233"	783258	
Acholeplasma	parvum		33:344*	sp. nov. (VP)	Atobe et al. 1983		1	"ATCC 29892, H23M, NCTC 10198"	783259	
Acholeplasma	pleciae		54:1951*	comb. nov. (VP)	(Tully et al. 1994) Knight 2004		1	"ATCC 49582, NBRC 100476, PS-1"	783260	
Acholeplasma	seiffertii		41:45*	sp. nov. (VP)	Bonnet et al. 1991		1	"ATCC 49495, F7"	783261	784205
Acholeplasma	vituli		50:1125*	sp. nov. (VP)	Angulo et al. 2000		1	"ATCC 700667, FC 097-2, CIP 107001, FC-097"	783262	
Acholeplasma			30:225	genus (AL)	Edward and Freundt 1970				515002	
Achromatium	oxaliferum		30:225	species (AL)	Schewiakoff 1893		1	no culture isolated	783263	
Achromatium			30:225	genus (AL)	Schewiakoff 1893				517162	
Achromobacter	aegrifaciens		64:1	sp. nov. (VL)	Vandamme et al. 2014	[IJSEM] The preferred syllabification is ae.gri.fa’ci.ens.	2	"LMG 26852, CCUG 62438"	791414	
Achromobacter	agilis		66:3708*	sp. nov. (VP)	Vandamme et al. 2016	[DSMZ] nom. nov.		"LMG 3411, CCUG 62454"	794605	
Achromobacter	aloeverae		67:37*	sp. nov. (VP)	Kuncharoen et al. 2017			"AVA-1, LMG 29108, NBRC 111463, PCU 352, TISTR 2383"	795050	
Achromobacter	animicus		63:2365	sp. nov. (VL)	Vandamme et al. 2013		"1, +"	"LMG 26690, CCUG 61966, DSM 29601"	790791	
Achromobacter	anxifer		64:1	sp. nov. (VL)	Vandamme et al. 2014		"1, +"	"LMG 26857, CCUG 62444"	791415	
Achromobacter	deleyi		66:3708*	sp. nov. (VP)	Vandamme et al. 2016			"LMG 3458, CCUG 62433"	794613	
Achromobacter	denitrificans		53:1825*	comb. nov. (VP)	(Rüger and Tan 1983) Coenye et al. 2003		2	"ATCC 15173, CCUG 407, CIP 77.15, DSM 30026, IFO 15125, JCM 5490, LMG 1231, NCTC 8582"	772551	
Achromobacter	dolens		64:1	sp. nov. (VL)	Vandamme et al. 2014		2	"LMG 26840, CCUG 6242"	791416	
Achromobacter	insolitus		53:1819*	sp. nov. (VP)	Coenye et al. 2003		"1, +"	"API 201-3-84, CCUG 47057, LMG 6003, DSM 23807"	783264	
Achromobacter	insuavis		64:1	sp. nov. (VL)	Vandamme et al. 2014		2	"LMG 26845, CCUG 62426"	791417	
Achromobacter	kerstersii		66:3708*	sp. nov. (VP)	Vandamme et al. 2016			"LMG 3441, CCUG 62449"	794611	
Achromobacter	marplatensis		61:2231*	sp. nov. (VP)	Gomila et al. 2011 emend. Vandamme et al. 2013 emend. Vandamme et al. 2016	[DSMZ] emended descriptions: IJSEM 63:2371 (List of Changes in Taxonomic Opinion No. 18) and IJSEM 66:1643*	2	"B2, CCM 7608, CCUG 56371, CECT 7342, LMG 26219, strain B2"	789403	
Achromobacter	mucicolens		63:2365	sp. nov. (VL)	Vandamme et al. 2013		2	"LMG 26685, CCUG 61961, DSM 29602"	790792	
Achromobacter	pestifer		66:3708*	sp. nov. (VP)	(ex Frankland and Frankland 1887) Vandamme et al. 2016			"LMG 3431, CCUG 61959"	794606	
Achromobacter	piechaudii		48:1083	comb. nov. (VL)	(Kiredjian et al. 1986) Yabuuchi et al. 1998		2	"CIP 60.75, DSM 10342, Hugh 366-5, IAM 12591, LMG 1873, ATCC 43552, CCUG 724, JCM 20668, NBRC 102461, NCTC 11970"	772562	
Achromobacter	pulmonis		63:2365	sp. nov. (VL)	Vandamme et al. 2013		"1, +"	"LMG 26696, CCUG 61972, DSM 29617, DSM 100240"	790793	
Achromobacter	ruhlandii		36:1	comb. nov. (VP)	(Packer and Vishniac 1955) Yabuuchi et al. 1998 emend. Vandamme et al. 2013	[DSMZ] emended description: IJSEM 63:2371* (List of Changes in Taxonomic Opinion No. 18)	2	"ATCC 15749, DSM 653, LMG 1866, CCUG 38886, CIP 77.26, VKM B-1333"	772563	
Achromobacter	sediminum		64:2244*	sp. nov. (VP)	Zhang et al. 2014			"XH089, DSM 27279, JCM 19223"	791951	793284
Achromobacter	spanius		53:1819*	sp. nov. (VP)	Coenye et al. 2003		"1, +"	"API 198-2-84, CCUG 47062, LMG 5911, DSM 23806"	783265	
Achromobacter	spiritinus		63:2365	"sp. nov. (VL), heterotypic syn."	Vandamme et al. 2013	[DSMZ] synonymy: IJSEM 66:1641*	2	"LMG 26692, CCUG 61968, DSM 29603"	790801	789403
